Model,Vcruise,Vcruise_kmh
172N/Hawk 100 thru '80('77 t/o gr. run=820),122.0,225.94400000000002
172 M Skyhawk ('76=4 mph more speed),115.0,212.98000000000002
172 K & L Skyhawk,115.0,212.98000000000002
R172K/Hawk XP (floats),116.0,214.83200000000002
172N-P/Hawk 100 (float plane 1978 & up),95.0,175.94
172 M (float plane 1974-76),97.0,179.644
172 M (float plane 1973),92.0,170.38400000000001
172 K & L float plane,92.0,170.38400000000001
172 I Skyhawk,115.0,212.98000000000002
"172,-D,-E,-F,-G,-H",114.0,211.12800000000001
172 C,114.0,211.12800000000001
172 B,114.0,211.12800000000001
"172,-A",108.0,200.01600000000002
"170,-A,-B",104.0,192.608
"152,A152 (w/conical wing tips)A=2 mph less",107.0,198.16400000000002
"150M, A150M (Aerobat span=32/9)",106.0,196.312
150 L ('71 height=8/8),102.0,188.904
A 150 L Aerobat (1974),103.0,190.756
"A 150 K,L Aerobat (1971-73)'71 height=8/8",100.0,185.20000000000002
"150 H,J,K (K=8/8 height)",102.0,188.904
150 J float plane,85.0,157.42000000000002
"150 D,-E,-F,-G",102.0,188.904
"150 A,-B,-C",105.0,194.46
150,104.0,192.608
140 A,90.0,166.68
140,88.0,162.976
120,100.0,185.20000000000002
Vision Jet SF50,305.0,564.86
SR20,160.0,296.32
SR22,180.0,333.36
Columbia 400 LC-41,181.0,335.212
Columbia 350 LC-42,179.0,331.50800000000004
Columbia 300 LC-40,190.0,351.88
115TC,187.0,346.324
115,149.0,275.94800000000004
114TC,177.0,327.80400000000003
"114A, Gran Turismo",157.0,290.764
"114,('76-24/10 length + less performance)",157.0,290.764
"112TC,-A,Alpine",163.0,301.87600000000003
112B,142.0,262.98400000000004
112A,140.0,259.28000000000003
112,143.0,264.836
Top Cub,110.0,203.72
Sport Cub,103.0,190.756
Falcon 8X,459.0,850.0680000000001
Falcon 7X,370.0,685.24
Lineage 1000,472.0,874.144
Falcon 900EX,,
Falcon 900 B (3-eng fan jet),459.0,850.0680000000001
Falcon 900 (3-eng fan jet),459.0,850.0680000000001
Falcon Fan Jet 50 (3-eng fan jet),430.0,796.36
Falcon Fan Jet 2000,480.0,888.96
2000EX,533.6,988.2272
Falcon 200,435.0,805.62
Falcon Fan Jet C 20,457.0,846.364
Falcon Fan Jet D 20,457.0,846.364
Falcon Fan Jet F 20 (thru 1975),458.0,848.216
Falcon F 20,410.0,759.32
Falcon 100,459.0,850.0680000000001
Falcon Fan Jet 10,459.0,850.0680000000001
Falcon Fan Jet 10 ('76-'77),426.0,788.952
DHC 6-300 Twin Otter Std. + '77-'78=less perf.,170.0,314.84000000000003
DHC 6-300 Twin Otter (thru 1976),171.0,316.692
DHC 6-200 Twin Otter,150.0,277.8
DA62,185.0,342.62
Twin Star Diamond DA42,172.0,318.54400000000004
Katana DA20-A1,117.0,216.684
Katana DA20-C1,132.0,244.464
Eclipse DA20-C1,140.0,259.28000000000003
Star DA40-180,145.0,268.54
TBM 940 (2019 & Up),252.0,466.704
TBM 900/910/930 (2014 & Up),252.0,466.704
TBM 850,255.0,472.26000000000005
TBM 700C2,333.0,616.716
TBM 700,291.0,538.932
TB-21 TC Trinidad,187.0,346.324
TB-20 Trinidad,160.0,296.32
TB-200XL,115.0,212.98000000000002
TB-10 Tobago,117.0,216.684
TB-9 Tampico Club,106.0,196.312
DW-1 (ag plane),57.0,105.56400000000001
Eclipse 500,426.0,788.952
Lineage 1000,452.0,837.104
Legacy EMB-135BJ,,
Praetor 600,466.0,863.032
Praetor 500,,
Legacy 500,466.0,863.032
Legacy 450,462.0,855.624
Phenom 300,450.0,833.4000000000001
Phenom 100,380.0,703.76
EMB-110P1A Bandeirante (specs=110P1/41),181.0,335.212
Eurofox,120.0,222.24
Excalibur '800' conv. Beech Twin Bonanza,213.0,394.476
Excalibur conv. Beech Twin Bonanza,226.0,418.552
"Queen Air '800' conv. Beech 65,A65,70,80",201.0,372.252
"Queen Air '8800' conv. Beech A80,B80",201.0,372.252
"Metro III,A",248.0,459.29600000000005
"Metro, II (prior '79 height=16/10)",256.0,474.112
Merlin IV C (SN AT-423 & up),248.0,459.29600000000005
Merlin IV C,261.0,483.372
"Merlin IV, A",,
Fairchild 300,264.0,488.928
"Merlin III C, III C-41 (13,230 gross)",265.0,490.78000000000003
"Merlin III C-23 (12,500 gross) (SN TT426 & up)",264.0,488.928
Merlin III B,295.0,546.34
Merlin III A,,
Merlin II B,257.0,475.964
Merlin II A,235.0,435.22
CTSW,112.0,207.424
800XP,119.0,220.388
700S,116.0,214.83200000000002
G650ER,566.9499999999999,1049.9913999999999
G500,566.9499999999999,1049.9913999999999
G V,459.0,850.0680000000001
G550,566.9499999999999,1049.9913999999999
G500,566.9499999999999,1049.9913999999999
G IVSP,459.0,850.0680000000001
G IV,459.0,850.0680000000001
G400,533.6,988.2272
G300,533.6,988.2272
G450,533.6,988.2272
G350,533.6,988.2272
GIII (G1159A),459.0,850.0680000000001
G200,533.6,988.2272
GII-B (G1159-B),459.0,850.0680000000001
GII (G1159) with tip tanks,459.0,850.0680000000001
GII (G1159),459.0,850.0680000000001
G150,533.6,988.2272
G100,533.6,988.2272
GI (G-159) ceiling quoted w/APU,299.0,553.748
Hawker Horizon 4000,422.0,781.544
Hawker 1000,452.0,837.104
Hawker 800,432.0,800.0640000000001
Hawker 850 XP Pro Line,402.0,744.504
Hawker 900XP,430.0,796.36
Hawker 750,430.0,796.36
Hawker 400XP,414.0,766.7280000000001
"HS125-700,A (Hawk-Sidd mfg) ('77=24,200 gross)",400.0,740.8000000000001
BH-125-600 (Beech mfg),435.0,805.62
BH-124-400A (Beech mfg),385.0,713.02
DH-125-3A-RA,385.0,713.02
HondaJet,420.0,777.84
Astra SPX,,
Astra SP,430.0,796.36
1125 Westwind/Astra,397.0,735.244
1124A Westwind 2,415.0,768.58
1124 Westwind 1,426.0,788.952
1123 Commodore Jet,426.0,788.952
1121 B Jet Commander,426.0,788.952
1121 Jet Commander,426.0,788.952
J250-SP,120.0,222.24
J230-SP,120.0,222.24
J170-SP,100.0,185.20000000000002
LA-4 Amphibian,114.0,211.12800000000001
C-IV Amphibian,117.0,216.684
C-1 Amphibian,97.0,179.644
LA-4 Seaplane,122.0,225.94400000000002
LA-4 Turbo-Lake,143.0,264.836
LA-4-200 Buccaneer (land specs) 1973 & prior,130.0,240.76000000000002
LA-4-200 Buccaneer (land specs),130.0,240.76000000000002
LA4/200EP,127.0,235.204
LA/250 Renegade,122.0,225.94400000000002
LA-270 Turbo Seafury,155.0,287.06
XL2,125.0,231.5
Jetstar II,438.0,811.176
Jetstar -8,435.0,805.62
Jetstar -6,427.0,790.8040000000001
8 F,83.0,153.716
8 E,83.0,153.716
8 A,78.0,144.45600000000002
Superstar II (600 series Aerostar),252.0,466.704
Superstar I (601P Aerostar),250.0,463.0
350 Turbo A-36 Bonanza,213.0,394.476
350 Turbo V-35B Bonanza,217.0,401.884
MX-7-160,135.0,250.02
MX-7-180A,140.0,259.28000000000003
M-7-260,142.0,262.98400000000004
M-7-235,148.0,274.096
M-6 (Land plane),129.0,238.90800000000002
M-5-235C,150.0,277.8
M-5-220C Lunar Rocket,150.0,277.8
M-5-210TC (turbocharged),170.0,314.84000000000003
M-5-210C Lunar Rocket,137.0,253.72400000000002
M-5-180C,136.0,251.872
M-4-220C Strata Rocket,152.0,281.504
M-4-210 C Rocket,143.0,264.836
M-4-180-C Astro Rocket,135.0,250.02
M-4 & M-4C Jetasen,130.0,240.76000000000002
M18 Dromader (ag plane),109.0,201.86800000000002
MU-300 Diamond II,438.0,811.176
MU-300 Diamond IA,400.0,740.8000000000001
MU-300 Diamond I,410.0,759.32
Marquise (MU-2B-60),296.0,548.192
Solitaire (MU-2B-40),313.0,579.676
"MU-2M,-2P (-2P empty weight=7,025)",304.0,563.008
"MU-2L,-2N (-2N empty weight=7,760)",283.0,524.116
MU-2K,270.0,500.04
MU-2J,265.0,490.78000000000003
MU-2G,261.0,483.372
MU-2F,270.0,500.04
"MU-2B,-2D (-2D=9,350 gross weight)",,
Acclaim (M20TN),237.0,438.92400000000004
Acclaim Ultra (M20V),175.0,324.1
TLS (M20M),223.0,412.99600000000004
Ovation (MS20R),191.0,353.732
PFM (M20L),,
M-22 pressurized,200.0,370.40000000000003
Ovation Ultra (M20U),170.0,314.84000000000003
M20S Eagle 2,145.0,268.54
Encore (MS20K),197.0,364.844
252TSE (M20K),201.0,372.252
205 (M20J),171.0,316.692
231 (M20K) turbocharged,191.0,353.732
201 (M20J) (prior'81 wing span=35/0),170.0,314.84000000000003
"M-20F Executive 21 (prior'74=17,900 ceiling)",156.0,288.91200000000003
